"nome_da_ies","cidade_ies","organizacao_academica","tipo_organizacao","endereco_ies","numero_ies","bairro_ies","latitude_ies","longitude_ies","geom_ies","nome_aeroporto","cidade_aeroporto","distancia_aeroporto"
"CENTRO UNIVERSITÁRIO ANHANGUERA DE MARABÁ","Marabá",2,2,"Rodovia BR-230","0","Nova Marabá","-5.37037035316591","-49.131530502351","0101000020421200001503D3FDD59048C0AF05A95D427B15C0","João Correa da Rocha Airport","Maraba","0.00671050162017904"
"Faculdade Cosmopolita","Belém",3,2,"Avenida Tavares Bastos","1313","Marambaia","-1.40293585","-48.45285925","0101000020421200007638BA4AF73948C0E62CA2DC6C72F6BF","Belém/Brigadeiro Protásio de Oliveira Airport","Belem","0.0136921408581023"
"FACULDADE ANHANGUERA DE MARABÁ","Marabá",3,2,"Rodovia BR-230, Km 07","s/n","Amapá","-5.3610989640398","-49.1239096326401","010100002042120000A4EC5545DC8F48C083AE44EDC37115C0","João Correa da Rocha Airport","Maraba","0.0159582597138679"
"Faculdade Pitágoras de Belém","Belém",3,2,"Travessa Humaitá","2356","Marco","-1.44111902753805","-48.4634991891616","010100002042120000F89501F1533B48C052B54ED3D20EF7BF","Belém/Brigadeiro Protásio de Oliveira Airport","Belem","0.0271038444396929"
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ","Belém",4,1,"Avenida João Paulo II","514","Castanheira","-1.4108522","-48.4336190657507","0101000020421200001D295DD4803748C09CD5A7C1D992F6BF","Belém/Brigadeiro Protásio de Oliveira Airport","Belem","0.0272831861755447"
"FACULDADE DE BELÉM","Belém",3,2,"Travessa Humaitá","2412","Marco","-1.44142554428056","-48.4630305701362","0101000020421200003EE4F195443B48C045DD443B1410F7BF","Belém/Brigadeiro Protásio de Oliveira Airport","Belem","0.0273648705391109"
"FACULDADE DE ITAITUBA","Itaituba",3,2,"Avenida Fernando Guilhon","895","Jardim das Araras","-4.26551478933689","-55.9813036345127","010100002042120000C2D6845B9BFD4BC09D39E31BE30F11C0","Itaituba Airport","Itaituba","0.0302218378986379"
"UNIVERSIDADE DA AMAZÔNIA","Belém",1,2,"Avenida Alcindo Cacela","287","Umarizal","-1.44092477987931","-48.4786181877933","010100002042120000EEEB5B5C433D48C0153E5924070EF7BF","Belém/Brigadeiro Protásio de Oliveira Airport","Belem","0.0322083641756287"
"Faculdade Cosmopolita","Belém",3,2,"Avenida Tavares Bastos","1313","Marambaia","-1.40293585","-48.45285925","0101000020421200007638BA4AF73948C0E62CA2DC6C72F6BF","Val de Cans/Júlio Cezar Ribeiro International Airport","Belem","0.0333234541553162"
"CENTRO UNIVERSITÁRIO DO ESTADO DO PARÁ","Belém",2,2,"Avenida Governador José Malcher","1963","São Brás","-1.44826923569824","-48.4763171689814","01010000204212000039A603F6F73C48C0A107B25C1C2CF7BF","Belém/Brigadeiro Protásio de Oliveira Airport","Belem","0.0375140522878932"
